== MERGED ==
72583/44934 cov=100.0% [963..1098m] @(49.1422,19.3552)
72583/44935 cov=100.0% [1009..1093m] @(49.1404,19.3552)
72582/44936 cov=100.0% [979..1059m] @(49.1386,19.3524)
72582/44937 cov=100.0% [904..1027m] @(49.1368,19.3524)
72583/44936 cov=100.0% [1004..1059m] @(49.1386,19.3552)
72583/44937 cov=100.0% [976..1037m] @(49.1368,19.3552)
72582/44938 cov=100.0% [851..980m] @(49.1350,19.3524)
72582/44939 cov=100.0% [833..891m] @(49.1332,19.3524)
72583/44938 cov=100.0% [886..987m] @(49.1350,19.3552)
72583/44939 cov=100.0% [847..922m] @(49.1332,19.3552)
72582/44940 cov=100.0% [795..891m] @(49.1314,19.3524)
72582/44941 cov=100.0% [786..864m] @(49.1296,19.3524)
72583/44940 cov=100.0% [797..855m] @(49.1314,19.3552)
72583/44941 cov=100.0% [777..853m] @(49.1296,19.3552)
72582/44942 cov=100.0% [772..840m] @(49.1278,19.3524)
72582/44943 cov=100.0% [754..820m] @(49.1260,19.3524)
72583/44942 cov=100.0% [773..841m] @(49.1278,19.3552)
72583/44943 cov=100.0% [768..841m] @(49.1260,19.3552)
72582/44944 cov=100.0% [729..832m] @(49.1242,19.3524)
72582/44945 cov=100.0% [736..859m] @(49.1224,19.3524)
72583/44944 cov=100.0% [722..842m] @(49.1242,19.3552)
72583/44945 cov=100.0% [712..805m] @(49.1224,19.3552)
72584/44930 cov=100.0% [1084..1206m] @(49.1494,19.3579)
72584/44931 cov=100.0% [1076..1213m] @(49.1476,19.3579)
72585/44930 cov=100.0% [1056..1204m] @(49.1494,19.3607)
72585/44931 cov=100.0% [1133..1219m] @(49.1476,19.3607)
72584/44932 cov=100.0% [960..1132m] @(49.1458,19.3579)
72584/44933 cov=100.0% [903..1030m] @(49.1440,19.3579)
72585/44932 cov=100.0% [1031..1185m] @(49.1458,19.3607)
72585/44933 cov=100.0% [921..1086m] @(49.1440,19.3607)
72584/44934 cov=100.0% [885..1044m] @(49.1422,19.3579)
72584/44935 cov=100.0% [934..1058m] @(49.1404,19.3579)
72585/44934 cov=100.0% [848..980m] @(49.1422,19.3607)
72585/44935 cov=100.0% [838..999m] @(49.1404,19.3607)
72584/44936 cov=100.0% [918..1015m] @(49.1386,19.3579)
72584/44937 cov=100.0% [922..1010m] @(49.1368,19.3579)
72585/44936 cov=100.0% [903..996m] @(49.1386,19.3607)
72585/44937 cov=100.0% [851..944m] @(49.1368,19.3607)
72584/44938 cov=100.0% [922..980m] @(49.1350,19.3579)
72584/44939 cov=100.0% [845..937m] @(49.1332,19.3579)
72585/44938 cov=100.0% [869..961m] @(49.1350,19.3607)
72585/44939 cov=100.0% [878..973m] @(49.1332,19.3607)
72584/44940 cov=100.0% [837..939m] @(49.1314,19.3579)
72584/44941 cov=100.0% [829..938m] @(49.1296,19.3579)
72585/44940 cov=100.0% [890..1016m] @(49.1314,19.3607)
72585/44941 cov=100.0% [926..1029m] @(49.1296,19.3607)
72584/44942 cov=100.0% [823..928m] @(49.1278,19.3579)
72584/44943 cov=100.0% [831..924m] @(49.1260,19.3579)
72585/44942 cov=100.0% [925..1029m] @(49.1278,19.3607)
72585/44943 cov=100.0% [905..1018m] @(49.1260,19.3607)
72584/44944 cov=100.0% [805..914m] @(49.1242,19.3579)
72584/44945 cov=100.0% [744..875m] @(49.1224,19.3579)
72585/44944 cov=100.0% [867..965m] @(49.1242,19.3607)
72585/44945 cov=100.0% [768..880m] @(49.1224,19.3607)
72586/44930 cov=100.0% [982..1164m] @(49.1494,19.3634)
72586/44931 cov=100.0% [1097..1210m] @(49.1476,19.3634)
72587/44930 cov=100.0% [919..1097m] @(49.1494,19.3661)
72587/44931 cov=100.0% [964..1115m] @(49.1476,19.3661)
72586/44932 cov=100.0% [1087..1189m] @(49.1458,19.3634)
72586/44933 cov=100.0% [981..1128m] @(49.1440,19.3634)
72587/44932 cov=100.0% [965..1129m] @(49.1458,19.3661)
72587/44933 cov=100.0% [1038..1126m] @(49.1440,19.3661)
72586/44934 cov=100.0% [860..1038m] @(49.1422,19.3634)
72586/44935 cov=100.0% [802..923m] @(49.1404,19.3634)
72587/44934 cov=100.0% [923..1054m] @(49.1422,19.3661)
72587/44935 cov=100.0% [802..947m] @(49.1404,19.3661)
72586/44936 cov=100.0% [799..947m] @(49.1386,19.3634)
72586/44937 cov=100.0% [811..911m] @(49.1368,19.3634)
72587/44936 cov=100.0% [765..858m] @(49.1386,19.3661)
72587/44937 cov=100.0% [766..877m] @(49.1368,19.3661)
72586/44938 cov=100.0% [855..975m] @(49.1350,19.3634)
72586/44939 cov=100.0% [961..1033m] @(49.1332,19.3634)
72587/44938 cov=100.0% [856..989m] @(49.1350,19.3661)
72587/44939 cov=100.0% [975..1050m] @(49.1332,19.3661)
72586/44940 cov=100.0% [973..1081m] @(49.1314,19.3634)
72586/44941 cov=100.0% [1016..1085m] @(49.1296,19.3634)
72587/44940 cov=100.0% [1034..1083m] @(49.1314,19.3661)
72587/44941 cov=100.0% [993..1085m] @(49.1296,19.3661)
72586/44942 cov=100.0% [1013..1072m] @(49.1278,19.3634)
72586/44943 cov=100.0% [963..1038m] @(49.1260,19.3634)
72587/44942 cov=100.0% [927..1064m] @(49.1278,19.3661)
72587/44943 cov=100.0% [901..1013m] @(49.1260,19.3661)
72586/44944 cov=100.0% [865..972m] @(49.1242,19.3634)
72586/44945 cov=100.0% [815..917m] @(49.1224,19.3634)
72587/44944 cov=100.0% [888..965m] @(49.1242,19.3661)
72587/44945 cov=100.0% [849..944m] @(49.1224,19.3661)
72588/44930 cov=100.0% [842..1009m] @(49.1494,19.3689)
72588/44931 cov=100.0% [851..1017m] @(49.1476,19.3689)
72589/44930 cov=100.0% [746..893m] @(49.1494,19.3716)
72589/44931 cov=100.0% [753..893m] @(49.1476,19.3716)
72588/44932 cov=100.0% [854..1039m] @(49.1458,19.3689)
72588/44933 cov=100.0% [918..1063m] @(49.1440,19.3689)
72589/44932 cov=100.0% [789..923m] @(49.1458,19.3716)
72589/44933 cov=100.0% [806..955m] @(49.1440,19.3716)
72588/44934 cov=100.0% [907..1053m] @(49.1422,19.3689)
72588/44935 cov=100.0% [818..951m] @(49.1404,19.3689)
72589/44934 cov=100.0% [809..956m] @(49.1422,19.3716)
72589/44935 cov=100.0% [733..906m] @(49.1404,19.3716)
72588/44936 cov=100.0% [745..852m] @(49.1386,19.3689)
72588/44937 cov=100.0% [747..881m] @(49.1368,19.3689)
72589/44936 cov=100.0% [722..817m] @(49.1386,19.3716)
72589/44937 cov=100.0% [746..838m] @(49.1368,19.3716)
72588/44938 cov=100.0% [836..985m] @(49.1350,19.3689)
72588/44939 cov=100.0% [904..1039m] @(49.1332,19.3689)
72589/44938 cov=100.0% [818..943m] @(49.1350,19.3716)
72589/44939 cov=100.0% [898..1020m] @(49.1332,19.3716)
72588/44940 cov=100.0% [992..1057m] @(49.1314,19.3689)
72588/44941 cov=100.0% [926..1056m] @(49.1296,19.3689)
72589/44940 cov=100.0% [996..1034m] @(49.1314,19.3716)
72589/44941 cov=100.0% [939..1027m] @(49.1296,19.3716)
72588/44942 cov=100.0% [870..992m] @(49.1278,19.3689)
72588/44943 cov=100.0% [816..926m] @(49.1260,19.3689)
72589/44942 cov=100.0% [872..959m] @(49.1278,19.3716)
72589/44943 cov=100.0% [803..904m] @(49.1260,19.3716)
72588/44944 cov=100.0% [820..909m] @(49.1242,19.3689)
72588/44945 cov=100.0% [815..897m] @(49.1224,19.3689)
72589/44944 cov=100.0% [779..836m] @(49.1242,19.3716)
72589/44945 cov=100.0% [766..835m] @(49.1224,19.3716)
72590/44930 cov=100.0% [676..773m] @(49.1494,19.3744)
72590/44931 cov=100.0% [674..789m] @(49.1476,19.3744)
72591/44930 cov=100.0% [683..826m] @(49.1494,19.3771)
72591/44931 cov=100.0% [665..770m] @(49.1476,19.3771)
72590/44932 cov=100.0% [685..806m] @(49.1458,19.3744)
72590/44933 cov=100.0% [700..825m] @(49.1440,19.3744)
72591/44932 cov=100.0% [655..699m] @(49.1458,19.3771)
72591/44933 cov=100.0% [651..768m] @(49.1440,19.3771)
72590/44934 cov=100.0% [762..849m] @(49.1422,19.3744)
72590/44935 cov=100.0% [694..809m] @(49.1404,19.3744)
72591/44934 cov=100.0% [685..813m] @(49.1422,19.3771)
72591/44935 cov=100.0% [673..769m] @(49.1404,19.3771)
72590/44936 cov=100.0% [704..787m] @(49.1386,19.3744)
72590/44937 cov=100.0% [776..850m] @(49.1368,19.3744)
72591/44936 cov=100.0% [706..811m] @(49.1386,19.3771)
72591/44937 cov=100.0% [787..861m] @(49.1368,19.3771)
72590/44938 cov=100.0% [826..944m] @(49.1350,19.3744)
72590/44939 cov=100.0% [923..1019m] @(49.1332,19.3744)
72591/44938 cov=100.0% [818..930m] @(49.1350,19.3771)
72591/44939 cov=100.0% [816..932m] @(49.1332,19.3771)
72590/44940 cov=100.0% [928..1027m] @(49.1314,19.3744)
72590/44941 cov=100.0% [935..1009m] @(49.1296,19.3744)
72591/44940 cov=100.0% [825..952m] @(49.1314,19.3771)
72591/44941 cov=100.0% [902..986m] @(49.1296,19.3771)
72590/44942 cov=100.0% [870..963m] @(49.1278,19.3744)
72590/44943 cov=100.0% [820..897m] @(49.1260,19.3744)
72591/44942 cov=100.0% [898..987m] @(49.1278,19.3771)
72591/44943 cov=100.0% [855..968m] @(49.1260,19.3771)
72590/44944 cov=100.0% [782..855m] @(49.1242,19.3744)
72590/44945 cov=100.0% [750..814m] @(49.1224,19.3744)
72591/44944 cov=100.0% [813..967m] @(49.1242,19.3771)
72591/44945 cov=100.0% [775..900m] @(49.1224,19.3771)
72592/44930 cov=100.0% [749..856m] @(49.1494,19.3799)
72592/44931 cov=100.0% [690..815m] @(49.1476,19.3799)
72593/44930 cov=100.0% [802..878m] @(49.1494,19.3826)
72593/44931 cov=100.0% [782..861m] @(49.1476,19.3826)
72592/44932 cov=100.0% [672..781m] @(49.1458,19.3799)
72592/44933 cov=100.0% [643..768m] @(49.1440,19.3799)
72593/44932 cov=100.0% [725..835m] @(49.1458,19.3826)
72593/44933 cov=100.0% [636..761m] @(49.1440,19.3826)
72592/44934 cov=100.0% [641..722m] @(49.1422,19.3799)
72592/44935 cov=100.0% [659..772m] @(49.1404,19.3799)
72593/44934 cov=100.0% [634..728m] @(49.1422,19.3826)
72593/44935 cov=100.0% [700..773m] @(49.1404,19.3826)
72592/44936 cov=100.0% [727..815m] @(49.1386,19.3799)
72592/44937 cov=100.0% [733..830m] @(49.1368,19.3799)
72593/44936 cov=100.0% [669..778m] @(49.1386,19.3826)
72593/44937 cov=100.0% [679..765m] @(49.1368,19.3826)
72592/44938 cov=100.0% [728..831m] @(49.1350,19.3799)
72592/44939 cov=100.0% [745..835m] @(49.1332,19.3799)
72593/44938 cov=100.0% [706..792m] @(49.1350,19.3826)
72593/44939 cov=100.0% [749..840m] @(49.1332,19.3826)
72592/44940 cov=100.0% [803..902m] @(49.1314,19.3799)
72592/44941 cov=100.0% [897..999m] @(49.1296,19.3799)
72593/44940 cov=100.0% [821..916m] @(49.1314,19.3826)
72593/44941 cov=100.0% [898..1002m] @(49.1296,19.3826)
72592/44942 cov=100.0% [958..1021m] @(49.1278,19.3799)
72592/44943 cov=100.0% [957..1025m] @(49.1260,19.3799)
72593/44942 cov=100.0% [938..1021m] @(49.1278,19.3826)
72593/44943 cov=100.0% [867..1022m] @(49.1260,19.3826)
72592/44944 cov=100.0% [872..1011m] @(49.1242,19.3799)
72592/44945 cov=100.0% [774..898m] @(49.1224,19.3799)
72593/44944 cov=100.0% [809..974m] @(49.1242,19.3826)
72593/44945 cov=100.0% [747..872m] @(49.1224,19.3826)
72594/44930 cov=100.0% [809..876m] @(49.1494,19.3854)
72594/44931 cov=100.0% [749..841m] @(49.1476,19.3854)
72595/44930 cov=100.0% [749..826m] @(49.1494,19.3881)
72595/44931 cov=100.0% [728..814m] @(49.1476,19.3881)
72594/44932 cov=100.0% [727..825m] @(49.1458,19.3854)
72594/44933 cov=100.0% [637..773m] @(49.1440,19.3854)
72595/44932 cov=100.0% [703..778m] @(49.1458,19.3881)
72595/44933 cov=100.0% [669..759m] @(49.1440,19.3881)
72594/44934 cov=100.0% [631..699m] @(49.1422,19.3854)
72594/44935 cov=100.0% [637..732m] @(49.1404,19.3854)
72595/44934 cov=100.0% [629..723m] @(49.1422,19.3881)
72595/44935 cov=100.0% [629..698m] @(49.1404,19.3881)
72594/44936 cov=100.0% [645..756m] @(49.1386,19.3854)
72594/44937 cov=100.0% [691..786m] @(49.1368,19.3854)
72595/44936 cov=100.0% [653..785m] @(49.1386,19.3881)
72595/44937 cov=100.0% [756..791m] @(49.1368,19.3881)
72594/44938 cov=100.0% [761..812m] @(49.1350,19.3854)
72594/44939 cov=100.0% [750..821m] @(49.1332,19.3854)
72595/44938 cov=100.0% [704..790m] @(49.1350,19.3881)
72595/44939 cov=100.0% [698..776m] @(49.1332,19.3881)
72594/44940 cov=100.0% [775..912m] @(49.1314,19.3854)
72594/44941 cov=100.0% [849..947m] @(49.1296,19.3854)
72595/44940 cov=100.0% [730..849m] @(49.1314,19.3881)
72595/44941 cov=100.0% [750..901m] @(49.1296,19.3881)
72594/44942 cov=100.0% [843..953m] @(49.1278,19.3854)
72594/44943 cov=100.0% [776..937m] @(49.1260,19.3854)
72595/44942 cov=100.0% [746..883m] @(49.1278,19.3881)
72595/44943 cov=100.0% [703..842m] @(49.1260,19.3881)
72594/44944 cov=100.0% [758..867m] @(49.1242,19.3854)
72594/44945 cov=100.0% [750..808m] @(49.1224,19.3854)
72595/44944 cov=100.0% [708..776m] @(49.1242,19.3881)
72595/44945 cov=100.0% [739..783m] @(49.1224,19.3881)
72596/44930 cov=100.0% [728..799m] @(49.1494,19.3909)
72596/44931 cov=100.0% [683..789m] @(49.1476,19.3909)
72597/44930 cov=100.0% [694..801m] @(49.1494,19.3936)
72597/44931 cov=100.0% [665..785m] @(49.1476,19.3936)
72596/44932 cov=100.0% [677..775m] @(49.1458,19.3909)
72596/44933 cov=100.0% [635..746m] @(49.1440,19.3909)
72597/44932 cov=100.0% [647..744m] @(49.1458,19.3936)
72597/44933 cov=100.0% [639..755m] @(49.1440,19.3936)
72596/44934 cov=100.0% [628..684m] @(49.1422,19.3909)
72596/44935 cov=100.0% [625..696m] @(49.1404,19.3909)
72597/44934 cov=100.0% [628..752m] @(49.1422,19.3936)
72597/44935 cov=100.0% [623..657m] @(49.1404,19.3936)
72596/44936 cov=100.0% [631..785m] @(49.1386,19.3909)
72596/44937 cov=100.0% [688..786m] @(49.1368,19.3909)
72597/44936 cov=100.0% [622..707m] @(49.1386,19.3936)
72597/44937 cov=100.0% [621..708m] @(49.1368,19.3936)
72596/44938 cov=100.0% [687..756m] @(49.1350,19.3909)
72596/44939 cov=100.0% [658..730m] @(49.1332,19.3909)
72597/44938 cov=100.0% [623..703m] @(49.1350,19.3936)
72597/44939 cov=100.0% [628..696m] @(49.1332,19.3936)
72596/44940 cov=100.0% [681..750m] @(49.1314,19.3909)
72596/44941 cov=100.0% [692..793m] @(49.1296,19.3909)
72597/44940 cov=100.0% [625..701m] @(49.1314,19.3936)
72597/44941 cov=100.0% [629..708m] @(49.1296,19.3936)
72596/44942 cov=100.0% [653..791m] @(49.1278,19.3909)
72596/44943 cov=100.0% [650..745m] @(49.1260,19.3909)
72597/44942 cov=100.0% [620..711m] @(49.1278,19.3936)
72597/44943 cov=100.0% [628..680m] @(49.1260,19.3936)
72596/44944 cov=100.0% [680..739m] @(49.1242,19.3909)
72596/44945 cov=100.0% [689..749m] @(49.1224,19.3909)
72597/44944 cov=100.0% [648..699m] @(49.1242,19.3936)
72597/44945 cov=100.0% [644..696m] @(49.1224,19.3936)
72598/44930 cov=100.0% [705..826m] @(49.1494,19.3964)
72598/44931 cov=100.0% [702..852m] @(49.1476,19.3964)
72599/44930 cov=100.0% [803..905m] @(49.1494,19.3991)
72599/44931 cov=100.0% [827..906m] @(49.1476,19.3991)
72598/44932 cov=100.0% [737..856m] @(49.1458,19.3964)
72598/44933 cov=100.0% [737..844m] @(49.1440,19.3964)
72599/44932 cov=100.0% [836..903m] @(49.1458,19.3991)
72599/44933 cov=100.0% [746..852m] @(49.1440,19.3991)
72598/44934 cov=100.0% [639..762m] @(49.1422,19.3964)
72598/44935 cov=100.0% [624..727m] @(49.1404,19.3964)
72599/44934 cov=100.0% [682..837m] @(49.1422,19.3991)
72599/44935 cov=100.0% [684..837m] @(49.1404,19.3991)
72598/44936 cov=100.0% [621..685m] @(49.1386,19.3964)
72598/44937 cov=100.0% [619..683m] @(49.1368,19.3964)
72599/44936 cov=100.0% [680..800m] @(49.1386,19.3991)
72599/44937 cov=100.0% [646..757m] @(49.1368,19.3991)
72598/44938 cov=100.0% [617..667m] @(49.1350,19.3964)
72598/44939 cov=100.0% [617..666m] @(49.1332,19.3964)
72599/44938 cov=100.0% [615..696m] @(49.1350,19.3991)
72599/44939 cov=100.0% [610..637m] @(49.1332,19.3991)
72598/44940 cov=100.0% [606..644m] @(49.1314,19.3964)
72598/44941 cov=100.0% [587..635m] @(49.1296,19.3964)
72599/44940 cov=100.0% [599..639m] @(49.1314,19.3991)
72599/44941 cov=100.0% [579..626m] @(49.1296,19.3991)
72598/44942 cov=100.0% [587..629m] @(49.1278,19.3964)
72598/44943 cov=100.0% [613..665m] @(49.1260,19.3964)
72599/44942 cov=100.0% [577..617m] @(49.1278,19.3991)
72599/44943 cov=100.0% [575..625m] @(49.1260,19.3991)
72598/44944 cov=100.0% [604..665m] @(49.1242,19.3964)
72598/44945 cov=100.0% [622..672m] @(49.1224,19.3964)
72599/44944 cov=100.0% [581..630m] @(49.1242,19.3991)
72599/44945 cov=100.0% [623..672m] @(49.1224,19.3991)
72600/44930 cov=100.0% [802..901m] @(49.1494,19.4019)
72600/44931 cov=100.0% [805..890m] @(49.1476,19.4019)
72601/44930 cov=100.0% [720..824m] @(49.1494,19.4046)
72601/44931 cov=100.0% [735..821m] @(49.1476,19.4046)
72600/44932 cov=100.0% [800..877m] @(49.1458,19.4019)
72600/44933 cov=100.0% [766..836m] @(49.1440,19.4019)
72601/44932 cov=100.0% [777..808m] @(49.1458,19.4046)
72601/44933 cov=100.0% [777..826m] @(49.1440,19.4046)
72600/44934 cov=100.0% [766..906m] @(49.1422,19.4019)
72600/44935 cov=100.0% [799..945m] @(49.1404,19.4019)
72601/44934 cov=100.0% [806..922m] @(49.1422,19.4046)
72601/44935 cov=100.0% [855..978m] @(49.1404,19.4046)
72600/44936 cov=100.0% [757..855m] @(49.1386,19.4019)
72600/44937 cov=100.0% [696..812m] @(49.1368,19.4019)
72601/44936 cov=100.0% [812..954m] @(49.1386,19.4046)
72601/44937 cov=100.0% [754..872m] @(49.1368,19.4046)
72600/44938 cov=100.0% [618..753m] @(49.1350,19.4019)
72600/44939 cov=100.0% [606..675m] @(49.1332,19.4019)
72601/44938 cov=100.0% [665..787m] @(49.1350,19.4046)
72601/44939 cov=100.0% [606..697m] @(49.1332,19.4046)
72600/44940 cov=100.0% [582..613m] @(49.1314,19.4019)
72600/44941 cov=100.0% [577..604m] @(49.1296,19.4019)
72601/44940 cov=100.0% [587..633m] @(49.1314,19.4046)
72601/44941 cov=100.0% [578..609m] @(49.1296,19.4046)
72600/44942 cov=100.0% [573..581m] @(49.1278,19.4019)
72600/44943 cov=100.0% [571..582m] @(49.1260,19.4019)
72601/44942 cov=100.0% [575..608m] @(49.1278,19.4046)
72601/44943 cov=100.0% [570..601m] @(49.1260,19.4046)
72600/44944 cov=100.0% [571..627m] @(49.1242,19.4019)
72600/44945 cov=100.0% [592..665m] @(49.1224,19.4019)
72601/44944 cov=100.0% [568..592m] @(49.1242,19.4046)
72601/44945 cov=100.0% [572..619m] @(49.1224,19.4046)
72602/44930 cov=100.0% [671..764m] @(49.1494,19.4073)
72602/44931 cov=100.0% [723..793m] @(49.1476,19.4073)
72603/44930 cov=100.0% [641..751m] @(49.1494,19.4101)
72603/44931 cov=100.0% [699..790m] @(49.1476,19.4101)
72602/44932 cov=100.0% [739..793m] @(49.1458,19.4073)
72602/44933 cov=100.0% [717..825m] @(49.1440,19.4073)
72603/44932 cov=100.0% [675..790m] @(49.1458,19.4101)
72603/44933 cov=100.0% [678..770m] @(49.1440,19.4101)
72602/44934 cov=100.0% [747..894m] @(49.1422,19.4073)
72602/44935 cov=100.0% [809..953m] @(49.1404,19.4073)
72603/44934 cov=100.0% [741..858m] @(49.1422,19.4101)
72603/44935 cov=100.0% [809..907m] @(49.1404,19.4101)
72602/44936 cov=100.0% [851..952m] @(49.1386,19.4073)
72602/44937 cov=100.0% [751..900m] @(49.1368,19.4073)
72603/44936 cov=100.0% [823..931m] @(49.1386,19.4101)
72603/44937 cov=100.0% [800..907m] @(49.1368,19.4101)
72602/44938 cov=100.0% [697..821m] @(49.1350,19.4073)
72602/44939 cov=100.0% [633..731m] @(49.1332,19.4073)
72603/44938 cov=100.0% [715..820m] @(49.1350,19.4101)
72603/44939 cov=100.0% [633..730m] @(49.1332,19.4101)
72602/44940 cov=100.0% [605..670m] @(49.1314,19.4073)
72602/44941 cov=100.0% [602..638m] @(49.1296,19.4073)
72603/44940 cov=100.0% [610..669m] @(49.1314,19.4101)
72603/44941 cov=100.0% [571..639m] @(49.1296,19.4101)
72602/44942 cov=100.0% [586..632m] @(49.1278,19.4073)
72602/44943 cov=100.0% [574..611m] @(49.1260,19.4073)
72603/44942 cov=100.0% [557..613m] @(49.1278,19.4101)
72603/44943 cov=100.0% [554..590m] @(49.1260,19.4101)
72602/44944 cov=100.0% [564..590m] @(49.1242,19.4073)
72603/44944 cov=100.0% [552..587m] @(49.1242,19.4101)
72604/44930 cov=100.0% [629..704m] @(49.1494,19.4128)
72604/44931 cov=100.0% [629..790m] @(49.1476,19.4128)
72605/44930 cov=100.0% [628..773m] @(49.1494,19.4156)
72605/44931 cov=100.0% [619..730m] @(49.1476,19.4156)
72604/44932 cov=100.0% [643..784m] @(49.1458,19.4128)
72604/44933 cov=100.0% [656..765m] @(49.1440,19.4128)
72605/44932 cov=100.0% [613..735m] @(49.1458,19.4156)
72605/44933 cov=100.0% [605..720m] @(49.1440,19.4156)
72604/44934 cov=100.0% [720..855m] @(49.1422,19.4128)
72604/44935 cov=100.0% [724..862m] @(49.1404,19.4128)
72605/44934 cov=100.0% [603..743m] @(49.1422,19.4156)
72605/44935 cov=100.0% [609..752m] @(49.1404,19.4156)
72604/44936 cov=100.0% [705..857m] @(49.1386,19.4128)
72604/44937 cov=100.0% [741..862m] @(49.1368,19.4128)
72605/44936 cov=100.0% [614..755m] @(49.1386,19.4156)
72605/44937 cov=100.0% [629..760m] @(49.1368,19.4156)
72604/44938 cov=100.0% [678..800m] @(49.1350,19.4128)
72604/44939 cov=100.0% [607..715m] @(49.1332,19.4128)
72605/44938 cov=100.0% [613..740m] @(49.1350,19.4156)
72605/44939 cov=100.0% [574..678m] @(49.1332,19.4156)
72604/44940 cov=100.0% [579..633m] @(49.1314,19.4128)
72604/44941 cov=100.0% [559..609m] @(49.1296,19.4128)
72605/44940 cov=100.0% [566..607m] @(49.1314,19.4156)
72605/44941 cov=100.0% [563..585m] @(49.1296,19.4156)
72604/44942 cov=100.0% [556..570m] @(49.1278,19.4128)
72604/44943 cov=100.0% [555..568m] @(49.1260,19.4128)
72605/44942 cov=100.0% [563..587m] @(49.1278,19.4156)
72606/44930 cov=100.0% [652..798m] @(49.1494,19.4183)
72606/44931 cov=100.0% [620..696m] @(49.1476,19.4183)
72607/44930 cov=100.0% [644..754m] @(49.1494,19.4211)
72607/44931 cov=100.0% [642..778m] @(49.1476,19.4211)
72606/44932 cov=100.0% [613..711m] @(49.1458,19.4183)
72606/44933 cov=100.0% [607..715m] @(49.1440,19.4183)
72607/44932 cov=100.0% [643..738m] @(49.1458,19.4211)
72607/44933 cov=100.0% [707..819m] @(49.1440,19.4211)
72606/44934 cov=100.0% [599..730m] @(49.1422,19.4183)
72606/44935 cov=100.0% [594..720m] @(49.1404,19.4183)
72607/44934 cov=100.0% [715..832m] @(49.1422,19.4211)
72607/44935 cov=100.0% [697..817m] @(49.1404,19.4211)
72606/44936 cov=100.0% [588..700m] @(49.1386,19.4183)
72606/44937 cov=100.0% [581..661m] @(49.1368,19.4183)
72607/44936 cov=100.0% [618..706m] @(49.1386,19.4211)
72607/44937 cov=100.0% [615..683m] @(49.1368,19.4211)
72606/44938 cov=100.0% [576..642m] @(49.1350,19.4183)
72606/44939 cov=100.0% [572..613m] @(49.1332,19.4183)
72607/44938 cov=100.0% [592..638m] @(49.1350,19.4211)
72607/44939 cov=100.0% [594..652m] @(49.1332,19.4211)
72606/44940 cov=100.0% [571..619m] @(49.1314,19.4183)
72606/44941 cov=100.0% [574..620m] @(49.1296,19.4183)
72607/44940 cov=100.0% [605..651m] @(49.1314,19.4211)
72607/44941 cov=100.0% [589..630m] @(49.1296,19.4211)
72606/44942 cov=100.0% [574..619m] @(49.1278,19.4183)
72608/44930 cov=100.0% [699..836m] @(49.1494,19.4238)
72608/44931 cov=100.0% [715..851m] @(49.1476,19.4238)
72609/44930 cov=100.0% [793..957m] @(49.1494,19.4266)
72609/44931 cov=100.0% [785..956m] @(49.1476,19.4266)
72608/44932 cov=100.0% [676..784m] @(49.1458,19.4238)
72608/44933 cov=100.0% [726..853m] @(49.1440,19.4238)
72609/44932 cov=100.0% [727..885m] @(49.1458,19.4266)
72609/44933 cov=100.0% [767..870m] @(49.1440,19.4266)
72608/44934 cov=100.0% [815..870m] @(49.1422,19.4238)
72608/44935 cov=100.0% [689..818m] @(49.1404,19.4238)
72609/44934 cov=100.0% [807..877m] @(49.1422,19.4266)
72609/44935 cov=100.0% [702..820m] @(49.1404,19.4266)
72608/44936 cov=100.0% [651..710m] @(49.1386,19.4238)
72608/44937 cov=100.0% [636..699m] @(49.1368,19.4238)
72609/44936 cov=100.0% [695..743m] @(49.1386,19.4266)
72609/44937 cov=100.0% [691..745m] @(49.1368,19.4266)
72608/44938 cov=100.0% [632..691m] @(49.1350,19.4238)
72608/44939 cov=100.0% [639..693m] @(49.1332,19.4238)
72609/44938 cov=100.0% [689..739m] @(49.1350,19.4266)
72609/44939 cov=100.0% [668..716m] @(49.1332,19.4266)
72608/44940 cov=100.0% [616..669m] @(49.1314,19.4238)
72609/44940 cov=100.0% [637..672m] @(49.1314,19.4266)
72610/44930 cov=100.0% [835..999m] @(49.1494,19.4293)
72610/44931 cov=100.0% [886..994m] @(49.1476,19.4293)
72611/44930 cov=100.0% [719..887m] @(49.1494,19.4321)
72611/44931 cov=100.0% [806..951m] @(49.1476,19.4321)
72610/44932 cov=100.0% [795..936m] @(49.1458,19.4293)
72610/44933 cov=100.0% [798..870m] @(49.1440,19.4293)
72611/44932 cov=100.0% [807..935m] @(49.1458,19.4321)
72611/44933 cov=100.0% [765..848m] @(49.1440,19.4321)
72610/44934 cov=100.0% [778..873m] @(49.1422,19.4293)
72610/44935 cov=100.0% [729..807m] @(49.1404,19.4293)
72611/44934 cov=100.0% [742..837m] @(49.1422,19.4321)
72611/44935 cov=100.0% [746..794m] @(49.1404,19.4321)
72610/44936 cov=100.0% [728..779m] @(49.1386,19.4293)
72610/44937 cov=100.0% [738..779m] @(49.1368,19.4293)
72611/44936 cov=100.0% [762..802m] @(49.1386,19.4321)
72611/44937 cov=100.0% [749..791m] @(49.1368,19.4321)
72610/44938 cov=100.0% [707..752m] @(49.1350,19.4293)
72610/44939 cov=100.0% [672..715m] @(49.1332,19.4293)
72611/44938 cov=100.0% [703..755m] @(49.1350,19.4321)
72611/44939 cov=99.9% [678..729m] @(49.1332,19.4321)
